Recording timestamp,Project name,Export date,Participant name,Recording name,Recording date,Event,Event value
0,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,RecordingStart,
16262,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,Eye tracker Calibration start,
20045,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,MouseEvent,"Down, Left"
20109,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,MouseEvent,"Up, Left"
65685,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,Return
66243,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,Eye tracker Calibration end,
66243,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Explanation (1)
74741,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,0
74814,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Explanation (1)
74814,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Practice
75782,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,0
75973,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Practice
75973,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1001_DFA_ANG_XX
79465,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1001_DFA_ANG_XX
79465,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
82948,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,2
83104,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
83104,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1013_DFA_DIS_XX
86570,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1013_DFA_DIS_XX
86570,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
88685,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,5
88742,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
88742,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,ExperimentSlide
91808,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,ExperimentSlide
91808,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1072_DFA_HAP_XX
