@relation emotion

@attribute AU1 numeric
@attribute AU2 numeric
@attribute AU4 numeric
@attribute AU6 numeric
@attribute AU7 numeric
@attribute AU9 numeric
@attribute AU12 numeric
@attribute AU15 numeric
@attribute AU16 numeric
@attribute AU20 numeric
@attribute AU23 numeric
@attribute AU26 numeric
@attribute Left numeric
@attribute Lower numeric
@attribute Right numeric
@attribute Upper numeric
@attribute class {Angry,Sad,Happy,Disgust,Neutral,Fear}

@data
0.16,0,0.43,0.32,0,0.32,0,0,0,0,0,0.92,0,0,0.32,0.47,Disgust
0,0,0,0,2.48,0,0,0,0,0,0,2.48,0,2.48,0,0,Disgust
1.2,0,1.2,0,0.31,0,0,0,0,0,0,1.51,0,0.31,0,1.2,Disgust
0,0,0,0,1.4,0,0.56,0.56,0.47,0.33,0.47,2.25,0.33,1.96,0.47,0,Disgust
0,0,0.23,0.69,1.68,1.53,0,0,0,0.29,0,2.67,0.29,1.68,0.69,1.53,Disgust
0,0,0,0,0.27,0.27,0.47,0.65,0.22,0.43,0.47,0.92,0.43,0.92,0.47,0.27,Disgust
1.96,0,0.54,1.25,0.31,0.46,0,0,0,0,0,3.17,0,0.31,1.25,2.42,Fear
0,0,0,0,4.41,0,0,0,0,0,0,4.41,0,4.41,0,0,Fear
0.73,0,0.5,1.07,1.67,1.5,0,0,0,0,0,3.71,0,1.67,1.07,2.23,Fear
0.24,0,0.24,0,0.89,1.69,1.01,1.01,0.33,1.16,0.33,3.3,1.16,1.9,0.33,1.93,Fear
0.63,0,0.41,0.87,3.68,4.42,0,0,0,0.74,0,5.52,0.74,3.68,0.87,5.06,Fear
0,0,0,0,0.58,1.26,0.42,0.42,0.15,0.32,0.23,1.76,0.32,1.01,0.23,1.26,Fear
0.8,0,1.06,0.35,0.51,0.22,0,0,0,0,0,1.66,0,0.51,0.35,1.02,Happy
0.18,0,0.3,0,0.67,0,0,0,0,0,0,1.15,0,0.67,0,0.18,Happy
0.17,0,0,0,0.72,0.07,0,0,0,0,0,0.88,0,0.72,0,0.24,Happy
0,0,0,0,1.08,0.96,0,0,0,0.55,0,1.63,0.55,1.08,0,0.96,Happy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Happy
0,0,0.17,0,0.9,0.28,0,0,0,0.28,0,1.35,0.28,0.9,0,0.28,Happy
0.36,0,0.27,0.21,0.31,0,0,0,0,0,0,0.95,0,0.31,0.21,0.36,Neutral
0.18,0,0.18,0,2.25,0,0,0,0,0,0,2.43,0,2.25,0,0.18,Neutral
0.01,0,0.01,0.01,1.1,0,0,0,0,0,0,1.11,0,1.1,0.01,0.01,Neutral
0,0,0,0,0,1.42,0,0.14,0,1.57,0,1.57,1.57,0.14,0,1.42,Neutral
0,0,0,0.22,1.36,2.59,0,0,0,0,0,2.81,0,1.36,0.22,2.59,Neutral
0,0,0,0,0.81,0.85,0,0.09,0,0.09,0,1.02,0.09,0.9,0,0.85,Neutral
1.96,0,0.33,0,0.07,0,0,0,0,0,0,2.03,0,0.07,0,1.96,Sad
0,0,0,0,4.2,0,0,0,0,0,0,4.2,0,4.2,0,0,Sad
0,0,0.52,0.22,0.41,0.42,0,0,0,0,0,1.36,0,0.41,0.22,0.42,Sad
0,0,0,0,1.84,2.87,0,0,0,0.93,0,2.87,0.93,1.84,0,2.87,Sad
0,0,0,0.39,3.83,3.83,0,0,0,0,0,4.23,0,3.83,0.39,3.83,Sad
0,0,0,0,0.86,1.22,0.17,0.24,0,0.37,0.07,1.47,0.37,1.1,0.07,1.22,Sad
1.98,0,0.89,1.2599999999999998,5.62,3.0300000000000002,0.6000000000000001,1.46,0,2.02,0,10.25,2.02,7.08,1.2599999999999998,5.01,Angry
1.7,0,0.5,0.12,0.46,0,0,0,0,0,0,2.16,0,0.46,0.12,1.7,Disgust
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disgust
1.68,0,1.02,0,0,0,0,0,0,0,0,1.68,0,0,0,1.68,Disgust
