@relation emotion

@attribute AU1 numeric
@attribute AU2 numeric
@attribute AU4 numeric
@attribute AU6 numeric
@attribute AU7 numeric
@attribute AU9 numeric
@attribute AU12 numeric
@attribute AU15 numeric
@attribute AU16 numeric
@attribute AU20 numeric
@attribute AU23 numeric
@attribute AU26 numeric
@attribute Left numeric
@attribute Lower numeric
@attribute Right numeric
@attribute Upper numeric
@attribute class {Angry,Sad,Happy,Disgust,Neutral,Fear}

@data
1.3599999999999999,0,1.8599999999999999,1.01,6.139999999999999,2.12,1.03,1.21,0.69,1.05,0.94,10.75,1.05,7.35,1.95,3.47,Disgust
3.5599999999999996,0,1.69,3.1900000000000004,11.54,9.33,1.43,1.43,0.48,2.2199999999999998,0.56,21.87,2.2199999999999998,12.979999999999999,3.7500000000000004,12.9,Fear
1.15,0,1.53,0.35,3.8800000000000003,1.53,0,0,0,0.8300000000000001,0,6.67,0.8300000000000001,3.8800000000000003,0.35,2.6799999999999997,Happy
0.55,0,0.46,0.44,5.83,4.859999999999999,0,0.23,0,1.6600000000000001,0,9.89,1.6600000000000001,6.0600000000000005,0.44,5.409999999999999,Neutral
1.96,0,0.8500000000000001,0.61,11.21,8.34,0.17,0.24,0,1.3,0.07,16.16,1.3,11.450000000000001,0.6799999999999999,10.3,Sad
1.98,0,0.89,1.2599999999999998,5.62,3.0300000000000002,0.6000000000000001,1.46,0,2.02,0,10.25,2.02,7.08,1.2599999999999998,5.01,Angry
4.2,0,1.92,0.61,2.52,1.04,0,0.22,0.12,0.43000000000000005,0.12,8.09,0.43000000000000005,2.75,0.72,5.24,Disgust
0.42,0,0.7999999999999999,2.39,11.89,3.71,0.9,1.1800000000000002,0.07,2.05,0.52,17.709999999999997,2.05,13.07,2.9099999999999997,4.13,Fear
0.76,0,0.53,2.64,4.569999999999999,4.06,0.69,1.61,0.55,2.37,0.69,11.159999999999998,2.37,6.18,3.33,4.829999999999999,Happy
1.94,0,0.8799999999999999,1.0,7.65,3.2600000000000002,0.25,0.18,0,0.6,0.18,11.39,0.6,7.83,1.18,5.1899999999999995,Neutral
0.67,0,0.17,0.36,2.7800000000000002,1.27,0,0.11,0,0.22,0,4.789999999999999,0.22,2.89,0.36,1.9400000000000002,Sad
1.75,0,0.69,2.6,6.720000000000001,5.09,0,0.24,0,1.6,0,14.860000000000003,1.6,6.97,2.6,6.8500000000000005,Angry
1.18,0,1.5699999999999998,2.54,6.37,3.6500000000000004,0.21,0.46,0.21,0.71,0.21,12.55,0.71,6.83,2.75,4.84,Disgust
0.44,0,3.6,3.8,5.390000000000001,4.58,0,0.25,0,0.82,0,15.519999999999998,0.82,5.64,3.8,5.029999999999999,Fear
1.06,0,0.32,0,8.93,3.5300000000000002,0.08,0.88,0.08,1.18,0.34,12.74,1.18,9.809999999999999,0.34,4.59,Happy
1.45,0,1.93,0.12,7.800000000000001,3.73,0,0.66,0.36,1.0899999999999999,0.36,14.010000000000002,1.0899999999999999,8.46,0.48,5.18,Neutral
1.7,0,2.68,1.7999999999999998,5.59,2.59,0,0,0,0,0,11.44,0,5.59,1.7999999999999998,4.29,Sad
4.32,0,3.21,3.19,16.52,5.25,1.19,1.46,1.31,1.3,1.46,28.419999999999995,1.3,17.98,4.66,9.579999999999998,Angry
3.6699999999999995,0,10.1,6.17,9.53,6.6899999999999995,0.19,1.1,0.19,2.4299999999999997,0.31,29.54,2.4299999999999997,10.639999999999999,6.489999999999999,10.360000000000001,Disgust
2.45,0,0.49,3.76,8.33,3.23,0,0,0,0.07,0,15.56,0.07,8.33,3.76,5.68,Fear
0.77,0,0.27,0.43,8.090000000000002,1.72,0.98,1.33,0.98,0.22,0.98,11.700000000000001,0.22,9.410000000000002,1.41,2.49,Happy
0,0,2.0,1.08,9.17,5.840000000000001,0.6599999999999999,2.5300000000000002,0.6599999999999999,6.0,1.15,18.979999999999997,6.0,11.690000000000001,2.23,5.840000000000001,Neutral
2.15,0.12,1.71,2.24,22.239999999999995,8.48,0.8,0.74,1.1,1.1800000000000002,1.26,32.150000000000006,1.1800000000000002,22.979999999999997,3.5,10.629999999999999,Sad
0.19,0,0.86,1.4700000000000002,6.050000000000001,5.74,0.21,0.25,0.25,2.74,0.25,12.23,2.74,6.300000000000001,1.7200000000000002,5.93,Angry
0,0.07,1.58,1.42,9.31,6.23,0.27,0.27,1.32,4.13,1.32,18.93,4.13,9.58,2.8,6.23,Disgust
0,0,0.51,1.17,3.3800000000000003,2.65,0.25,0,0.25,0.72,0.25,7.550000000000001,0.72,3.3800000000000003,1.42,2.65,Fear
0,0,0.16,0.16,6.99,2.97,0.24,0.42,0.5700000000000001,2.21,0.5700000000000001,10.5,2.21,7.3999999999999995,0.73,2.97,Happy
0.34,0.15,1.14,0.76,4.5200000000000005,3.3899999999999997,0,0,0.07,0.22,0,7.47,0.22,4.5200000000000005,0.98,3.7300000000000004,Neutral
0,0,0,0.4,2.36,3.8899999999999997,0.39,0.6599999999999999,0.98,3.2199999999999998,0.6599999999999999,6.709999999999999,3.2199999999999998,3.03,1.3800000000000001,3.8899999999999997,Sad
1.08,0,0,1.7400000000000002,6.490000000000001,4.96,0,0,0,1.94,0,13.749999999999998,1.94,6.490000000000001,1.7400000000000002,6.05,Angry
0.38,0,0.29,2.63,4.53,2.83,0,0,0,0.27,0.09,8.79,0.27,4.53,2.72,3.2,Disgust
0.44,0,0.62,2.3,3.7699999999999996,2.97,0,0,0,0.87,0.8099999999999999,9.930000000000001,0.87,3.7699999999999996,3.11,3.41,Fear
0,0,0.29,1.08,5.2700000000000005,3.0700000000000003,0.91,0.91,0.91,0.42,0.91,10.16,0.42,6.180000000000001,1.9900000000000002,3.0700000000000003,Happy
0,0,0.2,1.01,2.4800000000000004,2.7199999999999998,0,0,0,0.86,0,5.98,0.86,2.4800000000000004,1.01,2.7199999999999998,Neutral
0.51,0,0.64,1.07,9.92,4.41,0.11,0.11,0.27,1.6600000000000001,0.39,16.41,1.6600000000000001,10.03,1.46,4.91,Sad
0.18,0,0,0.49,4.15,1.7,0,0,0,0.64,0,5.75,0.64,4.15,0.49,1.88,Angry
1.87,0,1.47,1.1400000000000001,5.6,2.65,0,0,0.19,0.51,0.37,10.679999999999998,0.51,5.6,1.51,4.53,Disgust
0.7,0,1.4,1.23,3.81,2.29,0,0,0.1,0.3,0.1,8.47,0.3,3.81,1.33,2.9800000000000004,Fear
0,0,0.37,0.61,5.289999999999999,1.4,0,0,0.07,0.7,0.23000000000000004,7.890000000000001,0.7,5.289999999999999,0.83,1.4,Happy
2.15,0,3.1900000000000004,0.32,3.98,1.46,0.73,0.73,0.73,0.75,1.0,10.41,0.75,4.72,1.31,3.62,Neutral
0.6699999999999999,0,1.9900000000000002,1.6,3.02,1.8900000000000001,0.58,0.58,0.37,1.42,0.79,9.02,1.42,3.6,2.39,2.56,Sad
1.26,0,0.2,1.54,6.9,5.37,0.43000000000000005,0.49,0.43000000000000005,1.6099999999999999,0.71,12.639999999999999,1.6099999999999999,7.39,2.25,6.64,Angry
0.47,0,2.17,1.38,4.08,5.459999999999999,0,0,0,1.3900000000000001,0,11.309999999999999,1.3900000000000001,4.08,1.38,5.93,Disgust
2.04,0,1.44,1.48,4.7,1.8900000000000001,0.75,0.75,0.68,0.98,0.75,10.410000000000002,0.98,5.46,2.2399999999999998,3.9299999999999997,Fear
1.1,0,3.55,1.1199999999999999,5.619999999999999,4.07,0.1,0,0.1,0.26,0.1,11.82,0.26,5.619999999999999,1.22,5.170000000000001,Happy
0.76,0,0.45,1.45,5.99,2.27,0,0.08,0,0.13,0.08,9.75,0.13,6.07,1.53,3.03,Neutral
1.14,0,0.51,1.04,8.81,5.0,0.33,0.17,0.33,0.6,0.5700000000000001,13.120000000000001,0.6,8.98,1.6099999999999999,6.140000000000001,Sad
0,0,0.23,2.4699999999999998,12.55,5.18,1.23,1.9,1.31,1.23,1.03,21.52,1.23,14.459999999999999,3.7800000000000002,5.18,Angry
0.21000000000000002,0,0.07,0.19,5.1899999999999995,2.18,0.74,1.72,1.78,0.47,0,9.57,0.47,6.92,1.9700000000000002,2.4000000000000004,Disgust
0,0,0,0.57,5.64,2.44,0.14,3.82,0.67,0.14,0,10.27,0.14,9.45,1.24,2.44,Fear
0.48,0,0.1,1.45,6.48,0.73,0.62,0.24,0.62,0,0,9.86,0,6.720000000000001,2.07,1.21,Happy
