@relation emotion

@attribute AU1 numeric
@attribute AU2 numeric
@attribute AU4 numeric
@attribute AU6 numeric
@attribute AU7 numeric
@attribute AU9 numeric
@attribute AU12 numeric
@attribute AU15 numeric
@attribute AU16 numeric
@attribute AU20 numeric
@attribute AU23 numeric
@attribute AU26 numeric
@attribute Left numeric
@attribute Lower numeric
@attribute Right numeric
@attribute Upper numeric
@attribute class {Angry,Sad,Happy,Disgust,Neutral,Fear}

@data
0,0,0,0.14,0,2.34,0.86,0,0,0,0,0,0.86,2.34,1.47,0,Disgust
0,0,0.26,0.89,0,1.53,0.64,0,0,0,0,0,0.45,0.64,2.02,1.83,Disgust
0.09,0,0.29,0.19,0,0.58,0,0,0,0.26,0,0.26,0.52,0.84,0.62,0.29,Disgust
0.12,0,0,0,0.17,0.4,0.4,0,0,0,0,0,1.51,0.4,0.15,1.26,Disgust
0,0,0,0,0,0.5,0.84,1.3,1.7,0.81,0.96,1.15,2.61,2.61,0,0,Disgust
1.19,0,0.99,0,0.63,0,0,0,0,0,0,0,0.67,0,1.39,2.05,Disgust
0,0,0,0.11,0,2.32,2.21,0,0,0,0,0,0.27,2.47,2.21,0,Fear
0,0,0.07,0.73,0.07,0.19,0.19,0,0,0,0,0,0.07,0.26,2.02,1.82,Fear
0.14,0,0.14,0.16,0,0,0,0,0,0,0,0,0.37,0.09,0.16,0.43,Fear
1.07,0,0.38,0.15,0.36,0.07,0,0,0,0,0,0,1.28,0.07,0.61,1.82,Fear
0,0,0,0,0,0.52,0.77,0.22,0.46,1.15,0.44,1.15,1.15,2.43,1.28,0,Fear
1.19,0,0.07,0.1,0.51,0.56,0.56,0,0,0,0,0,2.0,0.56,0.8,2.24,Fear
0,0,0,0,0,2.13,0,0,0,0,0,0,2.13,2.42,0.29,0,Happy
0,0,0,1.39,0,0.58,0,0,0,0,0,0,0,0.58,2.14,1.56,Happy
0,0,0,0,0,0.49,1.48,0,0.14,0,0.6,0,1.15,1.69,1.27,0.27,Happy
0.51,0,0.72,0,0.89,0,0.12,0,0,0,0,0,1.31,0.12,0.51,1.7,Happy
0,0,0,0,0,0.21,0.22,1.17,1.28,0.93,1.12,0.93,1.2,1.78,1.03,0,Happy
0.78,0,0.68,0,0.52,0.77,0.77,0,0,0,0,0,1.51,0.77,0.57,1.3,Happy
0,0,0,0.17,0,1.86,0,0,0,0,0,0,0.62,1.86,2.04,0.17,Neutral
0.57,0,0.57,0.13,0.57,1.0,0.59,0,0,0,0,0,0.57,1.13,1.13,0.57,Neutral
0,0,0,0,0,0,0.17,0.33,0,0.33,0,0.33,0.17,0.51,0.33,0,Neutral
0.3,0,0,0.1,0.73,0.36,0,0,0,0,0,0,0.98,0.36,0.52,1.13,Neutral
