@relation emotion

@attribute AU1 numeric
@attribute AU2 numeric
@attribute AU4 numeric
@attribute AU6 numeric
@attribute AU7 numeric
@attribute AU9 numeric
@attribute AU12 numeric
@attribute AU15 numeric
@attribute AU16 numeric
@attribute AU20 numeric
@attribute AU23 numeric
@attribute AU26 numeric
@attribute Left numeric
@attribute Lower numeric
@attribute Right numeric
@attribute Upper numeric
@attribute class {Angry,Sad,Happy,Disgust,Neutral,Fear}

@data
1.4,0,1.54,1.22,0.8,5.3500000000000005,2.7399999999999998,1.3,1.7,1.07,0.96,1.41,6.619999999999999,6.83,5.65,5.43,Disgust
2.4,0,0.6600000000000001,1.25,0.94,3.6599999999999997,3.73,0.22,0.46,1.15,0.44,1.15,5.14,5.880000000000001,7.080000000000001,6.3100000000000005,Fear
1.29,0,1.4,1.39,1.4100000000000001,4.18,2.59,1.17,1.42,0.93,1.7200000000000002,0.93,7.3,7.359999999999999,5.8100000000000005,4.83,Happy
2.61,0.12,1.3399999999999999,0.55,1.2999999999999998,3.44,0.96,1.9400000000000002,1.79,1.46,0.81,1.46,4.85,6.02,5.85,3.88,Neutral
0.22,0,0.37,2.6799999999999997,2.7800000000000002,3.1999999999999997,1.06,1.76,1.76,1.39,1.44,1.85,7.51,5.37,5.79,6.989999999999999,Sad
1.5,0,1.64,1.45,0.75,6.06,2.21,2.32,2.75,0.76,2.5700000000000003,1.46,9.93,9.32,4.29,4.91,Angry
3.67,0,2.0,2.94,0.65,1.22,1.71,0.61,1.56,0,2.26,0.3,7.08,4.2700000000000005,5.43,7.859999999999999,Disgust
1.79,0,1.57,2.7299999999999995,2.06,3.12,3.3500000000000005,0.42,0.86,0,0.95,0,6.760000000000001,4.210000000000001,5.01,7.5600000000000005,Fear
1.05,0,0.53,0.89,0.39,8.16,1.17,1.9,2.08,0.43,1.47,0.92,11.010000000000002,10.459999999999999,2.72,2.2800000000000002,Happy
2.11,0,1.56,2.25,2.36,4.7299999999999995,3.6700000000000004,0.56,0.39,0.13,0.42,0.13,9.440000000000001,6.659999999999999,4.6,7.199999999999999,Neutral
1.33,0,0.81,3.02,0.82,3.99,4.7299999999999995,1.1600000000000001,1.2799999999999998,0.54,2.31,0.54,9.03,6.5,3.6100000000000003,6.06,Sad
2.76,0,0.49,0.68,1.9100000000000001,9.24,2.0300000000000002,0.44,1.67,0.53,1.44,1.34,9.03,6.159999999999999,8.620000000000001,12.27,Angry
0.94,0,3.72,2.2800000000000002,3.56,5.86,1.0,2.34,3.5100000000000002,3.21,2.5500000000000003,3.28,9.28,6.3500000000000005,6.93,10.32,Disgust
2.7,0,2.17,2.34,0.85,8.11,1.39,0.9,2.44,1.36,2.18,1.67,10.71,6.3500000000000005,4.3,10.440000000000001,Fear
0.7,0.54,0.9199999999999999,2.25,1.69,6.9,2.1,0.93,1.81,1.09,2.6799999999999997,1.09,7.7299999999999995,6.51,5.99,9.25,Happy
1.7199999999999998,0,2.73,1.0899999999999999,2.7800000000000002,4.11,0.8200000000000001,2.45,2.96,2.66,2.83,2.96,9.54,5.24,4.8,9.44,Neutral
8.35,0,4.5,3.08,5.9399999999999995,17.39,7.58,1.89,4.9399999999999995,1.95,4.61,2.34,16.5,16.65,20.01,21.21,Sad
4.02,0,2.0300000000000002,1.74,3.8,9.45,1.57,0.83,2.37,1.42,2.22,1.87,5.66,5.6499999999999995,13.73,16.03,Angry
4.11,0,4.0,2.31,1.93,9.08,2.1500000000000004,2.38,3.37,3.0500000000000003,1.6800000000000002,3.0500000000000003,12.87,8.350000000000001,7.17,13.149999999999999,Disgust
3.01,0.46,1.1199999999999999,2.0700000000000003,2.8299999999999996,7.33,6.62,0.17,1.3699999999999999,0.25,3.5900000000000003,0.25,6.9399999999999995,7.57,12.689999999999998,12.39,Fear
0.86,0,0.99,0.8200000000000001,1.28,6.120000000000001,3.6500000000000004,1.2,2.62,1.2,2.6799999999999997,1.93,12.950000000000001,6.42,2.33,9.14,Happy
2.8699999999999997,0,3.44,1.8399999999999999,3.37,7.04,2.76,2.86,3.69,3.13,4.4399999999999995,3.4,16.84,6.949999999999999,3.9399999999999995,15.599999999999998,Neutral
1.31,0,0.9199999999999999,2.3400000000000003,1.02,8.48,3.73,2.8,3.19,3.1,3.17,3.18,13.25,6.949999999999999,6.930000000000001,13.9,Sad
0,0,0.51,1.94,0.37,9.389999999999999,1.56,1.14,1.91,1.98,2.02,1.98,3.02,8.33,12.450000000000003,9.620000000000001,Angry
0,0,0,3.19,2.04,2.7199999999999998,2.1,1.37,1.99,2.51,1.7400000000000002,2.51,3.02,5.18,10.620000000000001,8.54,Disgust
0.22,0,0.33,2.21,1.26,3.3600000000000003,2.0,1.57,1.56,1.73,0.9299999999999999,1.73,3.47,3.7300000000000004,6.870000000000001,7.96,Fear
0,0,0,1.04,0.42,6.069999999999999,1.94,0.57,1.4200000000000002,1.9300000000000002,1.87,1.9300000000000002,4.119999999999999,6.5,7.42,5.98,Happy
0,0,0.49,3.0700000000000003,1.14,4.96,2.5300000000000002,0.51,2.07,3.04,2.1,2.8000000000000003,1.13,6.24,12.88,8.200000000000001,Neutral
0,0,0,1.3900000000000001,1.5,4.4399999999999995,1.5499999999999998,1.74,1.81,1.81,1.06,1.81,2.87,5.23,8.48,7.38,Sad
0,0,0.2,1.06,0,5.24,2.79,3.4,3.94,4.680000000000001,1.32,4.680000000000001,2.9299999999999997,8.79,13.020000000000001,7.16,Angry
0.12,0,0,4.0600000000000005,0,6.029999999999999,1.94,2.0,2.1,3.13,0.66,3.2,3.8,5.6,10.23,9.4,Disgust
0,0,0,3.06,1.07,4.44,1.8,1.5,1.71,2.16,0.8,2.16,1.38,4.609999999999999,11.0,8.459999999999999,Fear
0,0,0,1.83,0.52,5.140000000000001,2.48,1.8,1.92,2.5300000000000002,0.6,2.5300000000000002,5.59,6.45,6.01,6.449999999999999,Happy
0.44,0,0.27,0.77,0,4.670000000000001,1.6099999999999999,1.45,1.58,1.68,1.22,1.68,1.5999999999999999,5.570000000000001,7.51,4.87,Neutral
0,0,0.35,1.04,1.31,4.71,2.91,2.09,1.56,2.71,1.1400000000000001,2.81,7.1,6.65,6.52,7.01,Sad
