@relation emotion

@attribute AU1 numeric
@attribute AU2 numeric
@attribute AU4 numeric
@attribute AU6 numeric
@attribute AU7 numeric
@attribute AU9 numeric
@attribute AU12 numeric
@attribute AU15 numeric
@attribute AU16 numeric
@attribute AU20 numeric
@attribute AU23 numeric
@attribute AU26 numeric
@attribute Left numeric
@attribute Lower numeric
@attribute Right numeric
@attribute Upper numeric
@attribute class {Angry,Sad,Happy,Disgust,Neutral,Fear}

@data
0,0,0,0,0,0.5,0.84,1.3,1.7,0.81,0.96,1.15,2.61,2.61,0,0,Disgust
0,0,0,0,0,0.52,0.77,0.22,0.46,1.15,0.44,1.15,1.15,2.43,1.28,0,Fear
0,0,0,0,0,0.21,0.22,1.17,1.28,0.93,1.12,0.93,1.2,1.78,1.03,0,Happy
0,0,0,0,0,0.05,0.2,1.61,1.79,1.13,0.81,1.13,1.22,1.99,0.95,0,Neutral
0,0,0,0,0,0,0.07,1.76,1.76,1.39,1.44,1.85,2.03,2.03,0,0,Sad
0,0,0,0,0,0,0.32,1.69,2.12,0.12,2.43,0.82,2.56,2.56,0,0,Angry
0,0,0,0,0,0.27,1.09,0.46,1.33,0,1.89,0.3,1.61,2.42,0.82,0,Disgust
0,0,0,0,0,0,0.99,0.42,0.86,0,0.95,0,1.85,1.85,0,0,Fear
0,0,0,0,0,0,0,1.9,2.08,0.43,1.47,0.92,2.12,2.3,0.18,0,Happy
0,0,0,0,0,1.01,1.61,0.56,0.39,0.13,0.42,0.13,2.5,2.5,0,0,Neutral
0,0,0,0,0,0,1.29,1.02,1.14,0.4,2.17,0.4,1.14,2.43,1.29,0,Sad
0,0,0,0,0,1.02,0.24,0.44,1.67,0.53,1.44,1.34,1.18,2.57,1.02,0.29,Angry
0,0,0,0,0,0,0.46,2.02,3.22,2.76,2.47,2.76,1.67,3.22,1.33,0,Disgust
0,0,0,0,0,0,0.57,0.9,2.44,1.36,2.18,1.67,1.55,2.83,0.15,0,Fear
0,0,0,0,0,0,1.27,0.93,1.81,1.09,2.42,1.09,2.5,2.71,0.21,0,Happy
0,0,0,0,0,0,0.3,2.45,2.96,2.66,2.72,2.96,2.85,3.26,0.2,0,Neutral
0,0,0,0,0,0.85,3.67,1.72,4.42,1.78,3.87,1.91,3.02,6.21,2.17,0,Sad
0,0,0,0,0,0.87,0.98,0.48,2.02,1.07,2.22,1.52,0,3.09,2.21,0.78,Angry
0,0,0,0,0,0.78,0.81,2.01,2.52,2.2,1.06,2.2,2.68,3.48,1.17,0.37,Disgust
0,0,0,0,0,0.14,2.79,0.07,1.2,0.15,2.95,0.15,1.47,3.49,1.94,0,Fear
0,0,0,0,0,0.15,0.37,0.96,1.8,0.96,1.98,1.69,2.45,2.45,0.07,0.07,Happy
0,0,0,0,0,0,0.4,2.86,3.69,3.13,3.23,3.4,4.27,4.27,0,0,Neutral
0,0,0,0,0,0,0.4,2.59,3.08,2.66,1.48,2.66,3.39,3.32,0,0,Sad
0,0,0,0,0,0,0.38,1.14,1.91,1.98,1.22,1.98,0.07,2.36,2.29,0,Angry
0,0,0,0,0,0,0.23,1.37,1.99,2.51,1.37,2.51,0,2.74,2.74,0,Disgust
0,0,0,0,0,0.16,0.45,1.57,1.56,1.73,0.29,1.73,0.28,2.18,0.55,0,Fear
0,0,0,0,0,0,0.32,0.57,1.36,1.87,0.79,1.87,1.32,2.18,0.23,0,Happy
0,0,0,0,0,0,0.07,0.51,2.07,2.64,1.0,2.64,0.07,2.72,2.64,0,Neutral
0,0,0,0,0,0,0.08,1.74,1.81,1.81,0.07,1.81,0.67,1.89,0.94,0,Sad
0,0,0,0,0,0,0,2.57,3.32,3.47,0.9,3.47,0,3.47,3.47,0,Angry
0,0,0,0,0,0,0,2.0,2.1,2.8,0.1,2.87,0.25,2.87,2.62,0,Disgust
0,0,0,0,0,0,0.4,1.5,1.71,1.71,0.23,1.71,0.17,2.11,1.94,0,Fear
0,0,0,0,0,0,0,1.23,1.23,1.33,0.1,1.33,0.27,1.33,0.51,0,Happy
0,0,0,0,0,0,0.4,1.45,1.58,1.68,0.45,1.68,0.21,2.08,1.7,0,Neutral
